slot,dataset,attachment_point,requests,hop_budget,min_hop,reason
37,6,0,1,1,inf,uncovered_within_hop_budget
37,6,6,1,1,inf,uncovered_within_hop_budget
38,4,6,1,1,inf,uncovered_within_hop_budget
38,6,3,1,1,inf,uncovered_within_hop_budget
38,6,9,1,1,inf,uncovered_within_hop_budget
39,4,3,1,1,inf,uncovered_within_hop_budget
39,4,7,1,1,inf,uncovered_within_hop_budget
39,6,4,1,1,inf,uncovered_within_hop_budget
40,2,0,1,1,inf,uncovered_within_hop_budget
40,2,2,2,1,inf,uncovered_within_hop_budget
40,2,4,1,1,inf,uncovered_within_hop_budget
40,2,8,1,1,inf,uncovered_within_hop_budget
40,4,4,1,1,inf,uncovered_within_hop_budget
40,4,1,1,1,inf,uncovered_within_hop_budget
41,2,1,3,1,inf,uncovered_within_hop_budget
41,4,8,1,1,inf,uncovered_within_hop_budget
41,5,4,1,1,inf,uncovered_within_hop_budget
41,6,6,1,1,inf,uncovered_within_hop_budget
42,4,0,1,1,inf,uncovered_within_hop_budget
42,4,4,1,1,inf,uncovered_within_hop_budget
42,4,5,1,1,inf,uncovered_within_hop_budget
42,4,9,1,1,inf,uncovered_within_hop_budget
42,5,4,1,1,inf,uncovered_within_hop_budget
42,6,2,1,1,inf,uncovered_within_hop_budget
43,4,6,1,1,inf,uncovered_within_hop_budget
43,6,9,1,1,inf,uncovered_within_hop_budget
44,4,2,1,1,inf,uncovered_within_hop_budget
45,4,2,1,1,inf,uncovered_within_hop_budget
45,4,4,1,1,inf,uncovered_within_hop_budget
45,4,5,1,1,inf,uncovered_within_hop_budget
45,4,8,2,1,inf,uncovered_within_hop_budget
46,4,0,1,1,inf,uncovered_within_hop_budget
46,4,1,1,1,inf,uncovered_within_hop_budget
46,4,4,1,1,inf,uncovered_within_hop_budget
46,4,9,2,1,inf,uncovered_within_hop_budget
46,6,2,1,1,inf,uncovered_within_hop_budget
47,3,4,1,1,inf,uncovered_within_hop_budget
47,4,2,1,1,inf,uncovered_within_hop_budget
47,4,8,1,1,inf,uncovered_within_hop_budget
47,5,1,1,1,inf,uncovered_within_hop_budget
47,6,5,1,1,inf,uncovered_within_hop_budget
47,6,6,1,1,inf,uncovered_within_hop_budget
48,4,1,1,1,inf,uncovered_within_hop_budget
48,4,4,1,1,inf,uncovered_within_hop_budget
49,4,4,1,1,inf,uncovered_within_hop_budget
49,4,9,1,1,inf,uncovered_within_hop_budget
50,4,1,1,1,inf,uncovered_within_hop_budget
50,4,2,1,1,inf,uncovered_within_hop_budget
50,4,7,1,1,inf,uncovered_within_hop_budget
50,6,2,1,1,inf,uncovered_within_hop_budget
51,4,0,1,1,inf,uncovered_within_hop_budget
51,4,1,1,1,inf,uncovered_within_hop_budget
51,4,7,1,1,inf,uncovered_within_hop_budget
51,5,6,1,1,inf,uncovered_within_hop_budget
52,1,0,1,1,inf,uncovered_within_hop_budget
52,1,1,1,1,inf,uncovered_within_hop_budget
52,4,0,1,1,inf,uncovered_within_hop_budget
52,4,2,1,1,inf,uncovered_within_hop_budget
52,4,3,1,1,inf,uncovered_within_hop_budget
52,4,4,1,1,inf,uncovered_within_hop_budget
52,4,5,1,1,inf,uncovered_within_hop_budget
52,4,7,1,1,inf,uncovered_within_hop_budget
52,4,8,1,1,inf,uncovered_within_hop_budget
52,5,1,1,1,inf,uncovered_within_hop_budget
52,5,6,1,1,inf,uncovered_within_hop_budget
53,4,5,1,1,inf,uncovered_within_hop_budget
53,5,0,1,1,inf,uncovered_within_hop_budget
53,5,1,1,1,inf,uncovered_within_hop_budget
53,6,1,1,1,inf,uncovered_within_hop_budget
54,4,2,1,1,inf,uncovered_within_hop_budget
55,3,9,1,1,inf,uncovered_within_hop_budget
55,4,1,1,1,inf,uncovered_within_hop_budget
55,4,2,1,1,inf,uncovered_within_hop_budget
55,4,3,1,1,inf,uncovered_within_hop_budget
55,4,4,1,1,inf,uncovered_within_hop_budget
55,4,6,1,1,inf,uncovered_within_hop_budget
55,4,7,1,1,inf,uncovered_within_hop_budget
55,6,1,1,1,inf,uncovered_within_hop_budget
56,1,1,1,1,inf,uncovered_within_hop_budget
56,3,4,1,1,inf,uncovered_within_hop_budget
56,4,7,1,1,inf,uncovered_within_hop_budget
