Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
1351,-0.0756,0.0000,0.0244,N/A,N/A,0.1000,1,0,0.41
1352,-0.0262,0.0526,0.0211,N/A,N/A,0.1000,1,1,0.41
1353,0.1457,0.1053,0.0404,N/A,N/A,0.0000,0,2,0.35
1354,-0.2715,0.0000,0.0285,N/A,N/A,0.3000,3,0,0.43
1355,0.0242,0.1000,0.0242,N/A,N/A,0.1000,1,2,0.47
1356,-0.0746,0.0000,0.0254,N/A,N/A,0.1000,1,0,0.40
1357,0.1743,0.1500,0.0243,N/A,N/A,0.0000,0,3,0.42
1358,-0.0996,0.1765,0.0239,N/A,N/A,0.3000,3,3,0.43
1359,-0.0967,0.1765,0.0268,N/A,N/A,0.3000,3,3,0.40
1360,-0.0552,0.1176,0.0272,N/A,N/A,0.2000,2,2,0.36
1361,-0.0428,0.2353,0.0219,N/A,N/A,0.3000,3,4,0.38
1362,-0.1869,0.1875,0.0256,N/A,N/A,0.4000,4,3,0.43
1363,-0.2131,0.0588,0.0281,N/A,N/A,0.3000,3,1,0.42
1364,-0.0724,0.1053,0.0224,N/A,N/A,0.2000,2,2,0.40
1365,-0.0723,0.0000,0.0277,N/A,N/A,0.1000,1,0,0.40
1366,0.2144,0.2000,0.0144,N/A,N/A,0.0000,0,4,0.40
1367,-0.2516,0.1250,0.0234,N/A,N/A,0.4000,4,2,0.40
1368,-0.1049,0.1667,0.0284,N/A,N/A,0.3000,3,3,0.38
1369,-0.2503,0.2222,0.0274,N/A,N/A,0.5000,5,4,0.49
1370,-0.0223,0.1579,0.0198,N/A,N/A,0.2000,2,3,0.42
1371,-0.1201,0.0556,0.0243,N/A,N/A,0.2000,2,1,0.42
1372,0.0232,0.1053,0.0180,N/A,N/A,0.1000,1,2,0.39
1373,-0.1213,0.0556,0.0232,N/A,N/A,0.2000,2,1,0.41
1374,0.0250,0.1053,0.0197,N/A,N/A,0.1000,1,2,0.37
1375,0.0319,0.1111,0.0208,N/A,N/A,0.1000,1,2,0.41
1376,-0.0798,0.0000,0.0202,N/A,N/A,0.1000,1,0,0.43
1377,-0.1725,0.0000,0.0275,N/A,N/A,0.2000,2,0,0.44
1378,0.2177,0.2000,0.0177,N/A,N/A,0.0000,0,4,0.40
1379,-0.3647,0.0000,0.0353,N/A,N/A,0.4000,4,0,0.41
1380,0.1154,0.1000,0.0154,N/A,N/A,0.0000,0,2,0.42
1381,-0.0108,0.1667,0.0225,N/A,N/A,0.2000,2,3,0.40
1382,-0.0601,0.1176,0.0223,N/A,N/A,0.2000,2,2,0.42
1383,-0.2219,0.0588,0.0193,N/A,N/A,0.3000,3,1,0.44
1384,-0.0221,0.0526,0.0253,N/A,N/A,0.1000,1,1,0.43
1385,0.1350,0.2105,0.0245,N/A,N/A,0.1000,1,4,0.41
1386,-0.0417,0.1250,0.0333,N/A,N/A,0.2000,2,2,0.41
1387,-0.1751,0.0000,0.0249,N/A,N/A,0.2000,2,0,0.39
1388,0.1371,0.1111,0.0260,N/A,N/A,0.0000,0,2,0.34
1389,-0.1488,0.1250,0.0262,N/A,N/A,0.3000,3,2,0.41
1390,0.0865,0.0588,0.0276,N/A,N/A,0.0000,0,1,0.38
1391,0.0442,0.1250,0.0192,N/A,N/A,0.1000,1,2,0.37
1392,-0.1054,0.0667,0.0279,N/A,N/A,0.2000,2,1,0.36
1393,0.0729,0.2500,0.0229,N/A,N/A,0.2000,2,4,0.32
1394,-0.1962,0.0714,0.0324,N/A,N/A,0.3000,3,1,0.36
1395,0.0516,0.1250,0.0266,N/A,N/A,0.1000,1,2,0.32
1396,0.0537,0.1333,0.0204,N/A,N/A,0.1000,1,2,0.31
1397,-0.1107,0.5714,0.0179,N/A,N/A,0.7000,7,8,0.38
1398,-0.0998,0.3846,0.0156,N/A,N/A,0.5000,5,5,0.40
1399,0.0516,0.5385,0.0132,N/A,N/A,0.5000,5,7,0.36
1400,-0.2424,0.6364,0.0212,N/A,N/A,0.9000,9,7,0.37
1401,-0.3387,0.5385,0.0228,N/A,N/A,0.9000,9,7,0.37
1402,0.1100,0.6000,0.0100,N/A,N/A,0.5000,5,9,0.32
1403,-0.1332,0.6364,0.0304,N/A,N/A,0.8000,8,7,0.32
1404,-0.2909,0.5833,0.0257,N/A,N/A,0.9000,9,7,0.36
1405,-0.0156,0.5714,0.0129,N/A,N/A,0.6000,6,8,0.39
1406,-0.1167,0.6667,0.0166,N/A,N/A,0.8000,8,8,0.35
1407,0.0483,0.8333,0.0149,N/A,N/A,0.8000,8,10,0.37
1408,-0.1748,0.6000,0.0252,N/A,N/A,0.8000,8,6,0.33
1409,-0.1162,0.6667,0.0172,N/A,N/A,0.8000,8,8,0.37
1410,-0.2036,0.6667,0.0297,N/A,N/A,0.9000,9,8,0.30
1411,-0.2457,0.5385,0.0159,N/A,N/A,0.8000,8,7,0.40
1412,-0.0670,0.7143,0.0187,N/A,N/A,0.8000,8,10,0.36
1413,-0.0138,0.6667,0.0196,N/A,N/A,0.7000,7,8,0.27
1414,0.2451,0.7273,0.0178,N/A,N/A,0.5000,5,8,0.21
1415,-0.0092,0.8750,0.0158,N/A,N/A,0.9000,9,7,0.34
1416,0.0218,0.7000,0.0218,N/A,N/A,0.7000,7,7,0.27
1417,0.1089,0.7000,0.0089,N/A,N/A,0.6000,6,7,0.35
1418,-0.4214,0.5556,0.0230,N/A,N/A,1.0000,10,5,0.41
1419,-0.1029,0.7857,0.0114,N/A,N/A,0.9000,9,11,0.35
1420,0.1990,0.6667,0.0324,N/A,N/A,0.5000,5,8,0.25
1421,-0.1274,0.5556,0.0170,N/A,N/A,0.7000,7,5,0.33
1422,0.0309,0.8182,0.0127,N/A,N/A,0.8000,8,9,0.29
1423,-0.0802,0.7000,0.0198,N/A,N/A,0.8000,8,7,0.28
1424,0.0344,0.9091,0.0253,N/A,N/A,0.9000,9,10,0.29
1425,0.0114,1.0000,0.0114,N/A,N/A,1.0000,10,10,0.38
1426,-0.0860,0.5000,0.0140,N/A,N/A,0.6000,6,5,0.34
1427,-0.1183,0.4545,0.0271,N/A,N/A,0.6000,6,5,0.30
1428,0.3355,1.0000,0.0355,N/A,N/A,0.7000,7,12,0.21
1429,0.0161,1.0000,0.0161,N/A,N/A,1.0000,10,7,0.34
1430,-0.0698,0.9000,0.0302,N/A,N/A,1.0000,10,9,0.27
1431,0.0385,0.8182,0.0204,N/A,N/A,0.8000,8,9,0.26
1432,0.0273,0.7000,0.0273,N/A,N/A,0.7000,7,7,0.29
1433,-0.0854,0.8000,0.0146,N/A,N/A,0.9000,9,8,0.35
1434,-0.1147,0.4545,0.0308,N/A,N/A,0.6000,6,5,0.30
1435,0.0555,0.9167,0.0388,N/A,N/A,0.9000,9,11,0.27
1436,0.0263,1.0000,0.0263,N/A,N/A,1.0000,10,10,0.28
1437,-0.0721,0.8000,0.0279,N/A,N/A,0.9000,9,8,0.32
1438,-0.0610,0.8182,0.0208,N/A,N/A,0.9000,9,9,0.29
1439,0.0621,0.5455,0.0167,N/A,N/A,0.5000,5,6,0.29
1440,-0.0768,0.8000,0.0232,N/A,N/A,0.9000,9,8,0.30
1441,-0.0357,0.6364,0.0279,N/A,N/A,0.7000,7,7,0.27
1442,0.1351,0.8182,0.0169,N/A,N/A,0.7000,7,9,0.24
1443,0.2281,0.7778,0.0503,N/A,N/A,0.6000,6,7,0.22
1444,0.4323,0.7500,0.0823,N/A,N/A,0.4000,4,6,0.14
1445,0.3540,0.6667,0.0873,N/A,N/A,0.4000,4,4,0.15
1446,-0.1053,0.6667,0.0281,N/A,N/A,0.8000,8,4,0.28
1447,0.0320,0.9000,0.0320,N/A,N/A,0.9000,9,9,0.32
1448,0.0237,0.8000,0.0237,N/A,N/A,0.8000,8,8,0.34
1449,-0.1838,0.9000,0.0162,N/A,N/A,1.1000,11,9,0.39
1450,-0.1617,0.9167,0.0216,N/A,N/A,1.1000,11,11,0.33
1451,0.1402,0.9167,0.0236,N/A,N/A,0.8000,8,11,0.24
