COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 0
Overall violation ratio: 0.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
  283            12           0              0.0
  284            15           0              0.0
  285             2           0              0.0
  286            12           0              0.0
  287            21           0              0.0
  288             8           0              0.0
  289            14           0              0.0
  290            11           0              0.0
  291            11           0              0.0
  292             6           0              0.0
  293             8           0              0.0
  294             9           0              0.0
  295            13           0              0.0
  296            12           0              0.0
  297            12           0              0.0
  298             5           0              0.0
  299             7           0              0.0
  300            15           0              0.0
  301            21           0              0.0
  302            16           0              0.0
  303            12           0              0.0
  304            14           0              0.0
  305             9           0              0.0
  306             7           0              0.0
  307            14           0              0.0
  308            15           0              0.0
  309            13           0              0.0
  310            14           0              0.0
  311            11           0              0.0
  312            12           0              0.0
  313             7           0              0.0
  314            15           0              0.0
  315            14           0              0.0
  316            11           0              0.0
  317             8           0              0.0
  318             9           0              0.0
  319             4           0              0.0
  320             9           0              0.0
  321            13           0              0.0
  322             6           0              0.0
  323             9           0              0.0
  324            10           0              0.0
  325            10           0              0.0
  326             5           0              0.0
  327             4           0              0.0
  328            11           0              0.0
  329            12           0              0.0
  330             6           0              0.0
  331             8           0              0.0
  332             7           0              0.0
  333             9           0              0.0
  334             7           0              0.0
  335             9           0              0.0
  336            12           0              0.0
  337            11           0              0.0
  338             5           0              0.0
  339            10           0              0.0
  340             5           0              0.0
  341             7           0              0.0
  342             8           0              0.0
  343            13           0              0.0
  344             8           0              0.0
  345            12           0              0.0
  346            11           0              0.0
  347             7           0              0.0
  348             9           0              0.0
  349            18           0              0.0
  350            10           0              0.0
  351             6           0              0.0
  352             1           0              0.0
  353             2           0              0.0
  354            12           0              0.0
  355             4           0              0.0
  356            10           0              0.0
  357             5           0              0.0
  358            12           0              0.0
  359             4           0              0.0
  360             5           0              0.0
  361             5           0              0.0
  362             7           0              0.0
  363             8           0              0.0
  364             3           0              0.0
  365             3           0              0.0
  366             2           0              0.0
  367             6           0              0.0
  368             6           0              0.0
  369             5           0              0.0
  370             4           0              0.0
  371             5           0              0.0
  372             4           0              0.0
  373             8           0              0.0
  374             8           0              0.0
  375             3           0              0.0
  376            10           0              0.0
  377             4           0              0.0
  378             8           0              0.0
  379             7           0              0.0
  380             9           0              0.0
  381             4           0              0.0
  382             8           0              0.0
  383            14           0              0.0
  384             4           0              0.0
  385             7           0              0.0
  386             5           0              0.0
  387            14           0              0.0
  388            10           0              0.0
  389             5           0              0.0
  390             7           0              0.0
  391            12           0              0.0
  392             3           0              0.0
  393             4           0              0.0
  394            13           0              0.0
  395             8           0              0.0
  396            12           0              0.0
  397             7           0              0.0
  398             8           0              0.0
  399             6           0              0.0
  400             6           0              0.0
  401             6           0              0.0
  402            14           0              0.0
  403            13           0              0.0
  404             8           0              0.0
  405             7           0              0.0
  406             5           0              0.0
  407            13           0              0.0
  408            24           0              0.0
  409            33           0              0.0
  410            34           0              0.0
  411            23           0              0.0
  412             8           0              0.0
  413             5           0              0.0
  414            10           0              0.0
  415            13           0              0.0
  416             9           0              0.0
  417            14           0              0.0
  418             1           0              0.0
  419            26           0              0.0
  420             9           0              0.0
  421            18           0              0.0
  422            10           0              0.0
  423            15           0              0.0
  424            10           0              0.0
  425            17           0              0.0
  426             6           0              0.0
  427             6           0              0.0
  428             4           0              0.0
  429             4           0              0.0
  430             9           0              0.0
  431             8           0              0.0
  432             4           0              0.0
  433             2           0              0.0
  434             5           0              0.0
  435             7           0              0.0
  436             6           0              0.0
  437             4           0              0.0
  438            10           0              0.0
  439             5           0              0.0
  440             6           0              0.0
  441            11           0              0.0
  442             8           0              0.0
  443            10           0              0.0
  444             9           0              0.0
  445            11           0              0.0
  446             8           0              0.0
  447            15           0              0.0
  448            15           0              0.0
  449             9           0              0.0
  450             9           0              0.0
  451            18           0              0.0
  452            11           0              0.0
  453             7           0              0.0
  454            10           0              0.0
