slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
13,12,4,3,1,"ADD:3,6;ADD:4,0;ADD:5,8;REMOVE:4,3",0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:6;4:0;5:8;6:-;7:-;8:-;9:-,3@6=1;3@8=1;4@0=1;5@8=1,"6,8,0",4,4,4,0,1.0,0.7785479673319775,1.0,0.07854796733197755,0.0,0.0,0.30000000000000004,0.023652076721191406,Feasible|selected=beam_search
14,13,6,3,3,"ADD:2,4;ADD:2,9;ADD:4,5;REMOVE:3,6;REMOVE:4,0;REMOVE:5,8",0:-;1:-;2:-;3:6;4:0;5:8;6:-;7:-;8:-;9:-,0:-;1:-;2:4|9;3:-;4:5;5:-;6:-;7:-;8:-;9:-,2@4=1;2@9=1;4@5=1,"4,9,5",3,3,3,0,1.0,0.7914603973777807,1.0,0.09146039737778072,0.0,0.0,0.30000000000000004,0.016518115997314453,Feasible|selected=beam_search
15,14,5,3,2,"ADD:4,2;ADD:4,6;ADD:5,1;REMOVE:2,4;REMOVE:4,5",0:-;1:-;2:4|9;3:-;4:5;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:9;3:-;4:2|6;5:1;6:-;7:-;8:-;9:-,2@6=1;4@6=1;4@2=2;5@1=1,"6,2,1",5,4,4,0,1.0,0.4554249023574132,0.6666666666666666,0.08875823569074655,0.0,0.0,0.30000000000000004,0.01927018165588379,Feasible|selected=beam_search
16,15,4,1,3,"ADD:2,0;REMOVE:2,9;REMOVE:4,6;REMOVE:5,1",0:-;1:-;2:9;3:-;4:2|6;5:1;6:-;7:-;8:-;9:-,0:-;1:-;2:0;3:-;4:2;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=1;4@5=1,"0,2,5",3,3,3,0,1.0,0.6865182807975121,0.75,0.03651828079751208,0.0,0.0,0.1,0.024147987365722656,Feasible|selected=beam_search
17,16,3,1,2,"ADD:4,3;REMOVE:2,0;REMOVE:4,2",0:-;1:-;2:0;3:-;4:2;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,4@2=1;4@3=1,"2,3",2,2,2,0,1.0,0.9471526961615925,1.0,0.04715269616159257,0.0,0.0,0.1,0.013974905014038086,Feasible|selected=beam_search
18,17,2,1,1,"ADD:4,4;REMOVE:4,3",0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,0.9844194491247279,1.0,0.0844194491247279,0.0,0.0,0.1,0.004765033721923828,Feasible|selected=beam_search
19,18,2,1,1,"ADD:5,2;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:2;6:-;7:-;8:-;9:-,5@2=1,2,1,1,1,0,1.0,1.0037377425923668,1.0,0.10373774259236698,0.0,0.0,0.1,0.017299890518188477,Feasible|selected=beam_search
20,19,3,2,1,"ADD:4,0;ADD:6,7;REMOVE:5,2",0:-;1:-;2:-;3:-;4:-;5:2;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:0;5:-;6:7;7:-;8:-;9:-,4@0=1;6@2=1;6@7=2,"0,2,7",4,3,3,0,1.0,0.8745439070684475,1.0,0.07454390706844753,0.0,0.0,0.2,0.018608808517456055,Feasible|selected=beam_search
21,20,4,2,2,"ADD:2,9;ADD:4,4;REMOVE:4,0;REMOVE:6,7",0:-;1:-;2:-;3:-;4:0;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:9;3:-;4:4;5:-;6:-;7:-;8:-;9:-,2@9=1;4@4=1,"9,4",2,2,2,0,1.0,0.9039407142138565,1.0,0.10394071421385646,0.0,0.0,0.2,0.01544189453125,Feasible|selected=beam_search
22,21,3,1,2,"ADD:4,2;REMOVE:2,9;REMOVE:4,4",0:-;1:-;2:9;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,4@0=1;4@2=1;4@4=1,"0,2,4",3,3,3,0,1.0,0.9324070163351464,1.0,0.032407016335146525,0.0,0.0,0.1,0.017116308212280273,Feasible|selected=beam_search
