Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
82,0.1527,0.1923,0.0604,N/A,N/A,0.1000,1,5,0.01
83,-0.1292,0.0455,0.0253,N/A,N/A,0.2000,2,1,0.00
84,0.1913,0.1739,0.1174,N/A,N/A,0.1000,1,4,0.00
85,-0.1141,0.0500,0.0359,N/A,N/A,0.2000,2,1,0.00
86,-0.0781,0.1429,0.0791,N/A,N/A,0.3000,3,3,0.00
87,-0.0663,0.0476,0.0861,N/A,N/A,0.2000,2,1,0.00
88,-0.0538,0.0000,0.0462,N/A,N/A,0.1000,1,0,0.00
89,0.0525,0.1304,0.0221,N/A,N/A,0.1000,1,3,0.00
90,-0.0130,0.0476,0.0394,N/A,N/A,0.1000,1,1,0.00
91,-0.1524,0.0000,0.0476,N/A,N/A,0.2000,2,0,0.00
92,-0.0738,0.0000,0.0262,N/A,N/A,0.1000,1,0,0.00
93,0.0572,0.1250,0.0322,N/A,N/A,0.1000,1,3,0.00
94,0.0619,0.1364,0.0255,N/A,N/A,0.1000,1,3,0.00
95,-0.0808,0.0000,0.0192,N/A,N/A,0.1000,1,0,0.00
96,-0.1060,0.0476,0.0463,N/A,N/A,0.2000,2,1,0.00
97,-0.0503,0.1364,0.0133,N/A,N/A,0.2000,2,3,0.00
98,0.0429,0.1429,0.0000,N/A,N/A,0.1000,1,3,0.00
99,-0.2682,0.0000,0.0318,N/A,N/A,0.3000,3,0,0.00
100,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
101,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
102,0.1285,0.2083,0.0201,N/A,N/A,0.1000,1,5,0.01
103,-0.0719,0.2000,0.0281,N/A,N/A,0.3000,3,4,0.01
104,0.0053,0.1053,0.0000,N/A,N/A,0.1000,1,2,0.00
105,-0.3500,0.2222,0.0278,N/A,N/A,0.6000,6,4,0.01
106,0.1241,0.3000,0.0241,N/A,N/A,0.2000,2,6,0.01
107,-0.0533,0.0000,0.0467,N/A,N/A,0.1000,1,0,0.00
108,-0.0910,0.0588,0.0501,N/A,N/A,0.2000,2,1,0.00
109,-0.0080,0.0556,0.0365,N/A,N/A,0.1000,1,1,0.00
110,-0.0463,0.1111,0.0426,N/A,N/A,0.2000,2,2,0.00
111,0.1173,0.1667,0.0506,N/A,N/A,0.1000,1,3,0.01
112,0.1133,0.2500,0.0633,N/A,N/A,0.2000,2,4,0.00
